timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1739990694099,17,Requisição HTTP,200,OK,Grupo de Usuários 1-1,text,true,,3164,122,72,72,http://192.168.0.14:8080/,16,0,1
1739990694099,18,Requisição HTTP,200,OK,Grupo de Usuários 1-7,text,true,,3164,122,73,73,http://192.168.0.14:8080/,18,0,1
1739990694099,18,Requisição HTTP,200,OK,Grupo de Usuários 1-4,text,true,,3164,122,73,73,http://192.168.0.14:8080/,18,0,1
1739990694099,18,Requisição HTTP,200,OK,Grupo de Usuários 1-5,text,true,,3164,122,75,75,http://192.168.0.14:8080/,18,0,1
1739990694099,20,Requisição HTTP,200,OK,Grupo de Usuários 1-3,text,true,,3164,122,78,78,http://192.168.0.14:8080/,20,0,1
1739990694100,20,Requisição HTTP,200,OK,Grupo de Usuários 1-9,text,true,,3164,122,81,81,http://192.168.0.14:8080/,20,0,1
1739990694099,37,Requisição HTTP,200,OK,Grupo de Usuários 1-2,text,true,,3164,122,145,145,http://192.168.0.14:8080/,37,0,1
1739990694101,36,Requisição HTTP,200,OK,Grupo de Usuários 1-13,text,true,,3164,122,146,146,http://192.168.0.14:8080/,36,0,1
1739990694100,37,Requisição HTTP,200,OK,Grupo de Usuários 1-10,text,true,,3164,122,146,146,http://192.168.0.14:8080/,37,0,1
1739990694101,38,Requisição HTTP,200,OK,Grupo de Usuários 1-15,text,true,,3164,122,156,156,http://192.168.0.14:8080/,38,0,1
1739990694101,57,Requisição HTTP,200,OK,Grupo de Usuários 1-12,text,true,,3164,122,243,243,http://192.168.0.14:8080/,57,0,1
1739990694099,60,Requisição HTTP,200,OK,Grupo de Usuários 1-6,text,true,,3164,122,243,243,http://192.168.0.14:8080/,60,0,1
1739990694100,59,Requisição HTTP,200,OK,Grupo de Usuários 1-8,text,true,,3164,122,246,246,http://192.168.0.14:8080/,59,0,1
1739990694101,76,Requisição HTTP,200,OK,Grupo de Usuários 1-14,text,true,,3164,122,329,329,http://192.168.0.14:8080/,76,0,1
1739990694101,99,Requisição HTTP,200,OK,Grupo de Usuários 1-11,text,true,,3164,122,439,439,http://192.168.0.14:8080/,99,0,1
1739990694105,95,Requisição HTTP,200,OK,Grupo de Usuários 1-28,text,true,,3164,122,441,441,http://192.168.0.14:8080/,95,0,1
1739990694110,91,Requisição HTTP,200,OK,Grupo de Usuários 1-49,text,true,,3164,122,441,441,http://192.168.0.14:8080/,91,0,1
1739990694105,96,Requisição HTTP,200,OK,Grupo de Usuários 1-29,text,true,,3164,122,442,442,http://192.168.0.14:8080/,96,0,1
1739990694103,98,Requisição HTTP,200,OK,Grupo de Usuários 1-23,text,true,,3164,122,442,442,http://192.168.0.14:8080/,98,0,1
1739990694104,103,Requisição HTTP,200,OK,Grupo de Usuários 1-26,text,true,,3164,122,471,471,http://192.168.0.14:8080/,102,0,1
1739990694103,118,Requisição HTTP,200,OK,Grupo de Usuários 1-24,text,true,,3164,122,480,480,http://192.168.0.14:8080/,118,0,1
1739990694105,131,Requisição HTTP,200,OK,Grupo de Usuários 1-30,text,true,,3164,122,479,479,http://192.168.0.14:8080/,131,0,1
1739990694102,135,Requisição HTTP,200,OK,Grupo de Usuários 1-18,text,true,,3164,122,479,479,http://192.168.0.14:8080/,135,0,1
1739990694109,128,Requisição HTTP,200,OK,Grupo de Usuários 1-46,text,true,,3164,122,477,477,http://192.168.0.14:8080/,128,0,1
1739990694105,132,Requisição HTTP,200,OK,Grupo de Usuários 1-31,text,true,,3164,122,476,476,http://192.168.0.14:8080/,132,0,1
1739990694102,136,Requisição HTTP,200,OK,Grupo de Usuários 1-19,text,true,,3164,122,475,475,http://192.168.0.14:8080/,136,0,1
1739990694104,141,Requisição HTTP,200,OK,Grupo de Usuários 1-25,text,true,,3164,122,474,474,http://192.168.0.14:8080/,141,0,1
1739990694106,149,Requisição HTTP,200,OK,Grupo de Usuários 1-33,text,true,,3164,122,473,473,http://192.168.0.14:8080/,149,0,1
1739990694107,149,Requisição HTTP,200,OK,Grupo de Usuários 1-35,text,true,,3164,122,472,472,http://192.168.0.14:8080/,149,0,1
1739990694175,80,Requisição HTTP,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 192.168.0.14:8080 failed to respond,Grupo de Usuários 1-331,text,false,,2083,0,471,471,http://192.168.0.14:8080/,0,0,1
