timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1740060631349,169,Requisição HTTP,200,OK,Grupo de Usuários 1-2,text,true,,3164,119,100,100,http://localhost:8080/,169,0,1
1740060631362,158,Requisição HTTP,200,OK,Grupo de Usuários 1-46,text,true,,3164,119,100,100,http://localhost:8080/,158,0,0
1740060631361,161,Requisição HTTP,200,OK,Grupo de Usuários 1-3,text,true,,3164,119,100,100,http://localhost:8080/,161,0,1
1740060631352,170,Requisição HTTP,200,OK,Grupo de Usuários 1-47,text,true,,3164,119,100,100,http://localhost:8080/,170,0,1
1740060631360,162,Requisição HTTP,200,OK,Grupo de Usuários 1-67,text,true,,3164,119,100,100,http://localhost:8080/,162,0,0
1740060631357,171,Requisição HTTP,200,OK,Grupo de Usuários 1-68,text,true,,3164,119,95,95,http://localhost:8080/,171,0,1
1740060631367,162,Requisição HTTP,200,OK,Grupo de Usuários 1-7,text,true,,3164,119,94,94,http://localhost:8080/,162,0,1
1740060631361,169,Requisição HTTP,200,OK,Grupo de Usuários 1-1,text,true,,3164,119,93,93,http://localhost:8080/,169,0,0
1740060631364,172,Requisição HTTP,200,OK,Grupo de Usuários 1-5,text,true,,3164,119,92,92,http://localhost:8080/,172,0,0
1740060631371,169,Requisição HTTP,200,OK,Grupo de Usuários 1-10,text,true,,3164,119,91,91,http://localhost:8080/,169,0,1
1740060631369,172,Requisição HTTP,200,OK,Grupo de Usuários 1-8,text,true,,3164,119,90,90,http://localhost:8080/,172,0,0
1740060631354,188,Requisição HTTP,200,OK,Grupo de Usuários 1-69,text,true,,3164,119,89,89,http://localhost:8080/,188,0,3
1740060631377,167,Requisição HTTP,200,OK,Grupo de Usuários 1-12,text,true,,3164,119,88,88,http://localhost:8080/,167,0,1
1740060631362,182,Requisição HTTP,200,OK,Grupo de Usuários 1-4,text,true,,3164,119,87,87,http://localhost:8080/,182,0,1
1740060631384,162,Requisição HTTP,200,OK,Grupo de Usuários 1-16,text,true,,3164,119,86,86,http://localhost:8080/,162,0,0
1740060631380,169,Requisição HTTP,200,OK,Grupo de Usuários 1-14,text,true,,3164,119,85,85,http://localhost:8080/,169,0,0
1740060631390,159,Requisição HTTP,200,OK,Grupo de Usuários 1-19,text,true,,3164,119,85,85,http://localhost:8080/,159,0,2
1740060631393,163,Requisição HTTP,200,OK,Grupo de Usuários 1-20,text,true,,3164,119,83,83,http://localhost:8080/,162,0,1
1740060631374,189,Requisição HTTP,200,OK,Grupo de Usuários 1-11,text,true,,3164,119,82,82,http://localhost:8080/,189,0,2
1740060631370,193,Requisição HTTP,200,OK,Grupo de Usuários 1-9,text,true,,3164,119,81,81,http://localhost:8080/,193,0,0
1740060631397,166,Requisição HTTP,200,OK,Grupo de Usuários 1-24,text,true,,3164,119,81,81,http://localhost:8080/,166,0,4
1740060631395,173,Requisição HTTP,200,OK,Grupo de Usuários 1-23,text,true,,3164,119,79,79,http://localhost:8080/,173,0,1
1740060631379,191,Requisição HTTP,200,OK,Grupo de Usuários 1-13,text,true,,3164,119,78,78,http://localhost:8080/,191,0,0
1740060631365,206,Requisição HTTP,200,OK,Grupo de Usuários 1-6,text,true,,3164,119,77,77,http://localhost:8080/,206,0,1
1740060631418,155,Requisição HTTP,200,OK,Grupo de Usuários 1-37,text,true,,3164,119,76,76,http://localhost:8080/,155,0,0
1740060631385,193,Requisição HTTP,200,OK,Grupo de Usuários 1-17,text,true,,3164,119,75,75,http://localhost:8080/,193,0,1
1740060631382,197,Requisição HTTP,200,OK,Grupo de Usuários 1-15,text,true,,3164,119,74,74,http://localhost:8080/,197,0,1
1740060631386,196,Requisição HTTP,200,OK,Grupo de Usuários 1-18,text,true,,3164,119,73,73,http://localhost:8080/,196,0,1
1740060631403,179,Requisição HTTP,200,OK,Grupo de Usuários 1-27,text,true,,3164,119,73,73,http://localhost:8080/,179,0,2
1740060631407,178,Requisição HTTP,200,OK,Grupo de Usuários 1-31,text,true,,3164,119,71,71,http://localhost:8080/,178,0,2
1740060631393,192,Requisição HTTP,200,OK,Grupo de Usuários 1-21,text,true,,3164,119,71,71,http://localhost:8080/,192,0,1
1740060631396,192,Requisição HTTP,200,OK,Grupo de Usuários 1-22,text,true,,3164,119,69,69,http://localhost:8080/,192,0,1
1740060631412,176,Requisição HTTP,200,OK,Grupo de Usuários 1-33,text,true,,3164,119,69,69,http://localhost:8080/,176,0,1
1740060631414,175,Requisição HTTP,200,OK,Grupo de Usuários 1-34,text,true,,3164,119,67,67,http://localhost:8080/,175,0,1
1740060631400,191,Requisição HTTP,200,OK,Grupo de Usuários 1-26,text,true,,3164,119,66,66,http://localhost:8080/,191,0,1
1740060631418,177,Requisição HTTP,200,OK,Grupo de Usuários 1-35,text,true,,3164,119,65,65,http://localhost:8080/,177,0,1
1740060631402,194,Requisição HTTP,200,OK,Grupo de Usuários 1-28,text,true,,3164,119,64,64,http://localhost:8080/,194,0,0
1740060631404,194,Requisição HTTP,200,OK,Grupo de Usuários 1-29,text,true,,3164,119,63,63,http://localhost:8080/,194,0,1
1740060631406,194,Requisição HTTP,200,OK,Grupo de Usuários 1-30,text,true,,3164,119,62,62,http://localhost:8080/,193,0,4
1740060631413,189,Requisição HTTP,200,OK,Grupo de Usuários 1-32,text,true,,3164,119,61,61,http://localhost:8080/,189,0,1
1740060631416,188,Requisição HTTP,200,OK,Grupo de Usuários 1-36,text,true,,3164,119,60,60,http://localhost:8080/,188,0,2
1740060631421,186,Requisição HTTP,200,OK,Grupo de Usuários 1-38,text,true,,3164,119,59,59,http://localhost:8080/,186,0,1
1740060631423,184,Requisição HTTP,200,OK,Grupo de Usuários 1-40,text,true,,3164,119,58,58,http://localhost:8080/,184,0,1
1740060631420,190,Requisição HTTP,200,OK,Grupo de Usuários 1-39,text,true,,3164,119,57,57,http://localhost:8080/,190,0,1
