timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1739933472926,124,Requisição HTTP,200,OK,Grupo de Usuários 1-18,text,true,,3164,122,100,100,http://192.168.0.14:8080/,114,0,48
1739933472926,124,Requisição HTTP,200,OK,Grupo de Usuários 1-47,text,true,,3164,122,100,100,http://192.168.0.14:8080/,124,0,47
1739933472929,121,Requisição HTTP,200,OK,Grupo de Usuários 1-56,text,true,,3164,122,100,100,http://192.168.0.14:8080/,109,0,44
1739933472929,126,Requisição HTTP,200,OK,Grupo de Usuários 1-84,text,true,,3164,122,100,100,http://192.168.0.14:8080/,125,0,44
1739933472926,124,Requisição HTTP,200,OK,Grupo de Usuários 1-80,text,true,,3164,122,100,100,http://192.168.0.14:8080/,112,0,48
1739933472925,131,Requisição HTTP,200,OK,Grupo de Usuários 1-91,text,true,,3164,122,100,100,http://192.168.0.14:8080/,130,0,48
1739933472930,120,Requisição HTTP,200,OK,Grupo de Usuários 1-70,text,true,,3164,122,100,100,http://192.168.0.14:8080/,108,0,44
1739933472930,120,Requisição HTTP,200,OK,Grupo de Usuários 1-90,text,true,,3164,122,100,100,http://192.168.0.14:8080/,120,0,43
1739933472926,129,Requisição HTTP,200,OK,Grupo de Usuários 1-2,text,true,,3164,122,100,100,http://192.168.0.14:8080/,129,0,47
1739933472929,126,Requisição HTTP,200,OK,Grupo de Usuários 1-43,text,true,,3164,122,100,100,http://192.168.0.14:8080/,126,0,45
1739933472926,132,Requisição HTTP,200,OK,Grupo de Usuários 1-97,text,true,,3164,122,93,93,http://192.168.0.14:8080/,132,0,47
1739933472929,133,Requisição HTTP,200,OK,Grupo de Usuários 1-5,text,true,,3164,122,89,89,http://192.168.0.14:8080/,133,0,44
1739933472925,138,Requisição HTTP,200,OK,Grupo de Usuários 1-85,text,true,,3164,122,89,89,http://192.168.0.14:8080/,138,0,49
1739933472931,134,Requisição HTTP,200,OK,Grupo de Usuários 1-25,text,true,,3164,122,88,88,http://192.168.0.14:8080/,133,0,42
1739933472925,141,Requisição HTTP,200,OK,Grupo de Usuários 1-87,text,true,,3164,122,87,87,http://192.168.0.14:8080/,140,0,48
1739933472925,141,Requisição HTTP,200,OK,Grupo de Usuários 1-55,text,true,,3164,122,87,87,http://192.168.0.14:8080/,141,0,49
1739933472926,141,Requisição HTTP,200,OK,Grupo de Usuários 1-88,text,true,,3164,122,86,86,http://192.168.0.14:8080/,140,0,48
1739933472929,138,Requisição HTTP,200,OK,Grupo de Usuários 1-53,text,true,,3164,122,84,84,http://192.168.0.14:8080/,138,0,44
1739933472926,146,Requisição HTTP,200,OK,Grupo de Usuários 1-42,text,true,,3164,122,82,82,http://192.168.0.14:8080/,146,0,49
